serror_rate,srv_serror_rate,same_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,flag,class
0.0,0.0,1.0,57,1.0,0.0,0.0,SF,anomaly
1.0,1.0,0.1,3,0.01,1.0,1.0,S0,anomaly
0.0,0.0,1.0,225,0.88,0.0,0.0,SF,normal
1.0,1.0,0.17,10,0.04,1.0,1.0,S0,anomaly
0.0,0.0,0.09,12,0.1,0.0,0.0,REJ,anomaly
1.0,1.0,0.04,5,0.02,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,254,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,93,0.39,0.0,0.0,SF,anomaly
0.0,0.0,1.0,49,0.19,0.38,0.0,SF,normal
0.0,0.0,1.0,252,0.99,0.0,0.0,SF,normal
0.0,0.0,1.0,43,1.0,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,12,1.0,0.0,0.08,SF,normal
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,129,0.93,0.0,0.0,SF,normal
1.0,1.0,0.03,10,0.04,1.0,1.0,S0,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
0.0,0.0,1.0,185,0.71,0.0,0.01,SF,normal
0.0,0.0,1.0,240,1.0,0.0,0.0,SF,anomaly
0.0,0.0,0.05,13,0.05,0.0,0.0,REJ,anomaly
1.0,1.0,0.18,8,0.03,1.0,1.0,S0,anomaly
0.0,0.0,1.0,219,0.86,0.0,0.0,SF,anomaly
0.0,0.0,1.0,255,1.0,0.0,0.0,SF,normal
1.0,1.0,0.15,16,0.06,1.0,1.0,S0,anomaly
0.0,0.0,1.0,2,0.06,0.03,0.5,SF,normal
0.0,0.0,1.0,159,0.68,0.0,0.0,SF,normal
